,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-12 08Hrs,105.0,37.0,94.0,24.0,39,12.0,250° WSW
2025-04-12 09Hrs,105.0,37.0,94.0,24.0,39,12.0,250° WSW
2025-04-12 10Hrs,105.0,37.0,123.0,32.0,19,10.0,268° W
2025-04-12 11Hrs,104.0,37.0,108.0,35.0,13,19.0,289° WNW
2025-04-12 12Hrs,107.0,38.0,108.0,36.0,13,21.0,284° WNW
2025-04-12 13Hrs,107.0,38.0,104.0,36.0,14,25.0,280° W
2025-04-12 14Hrs,107.0,38.0,104.0,36.0,14,25.0,280° W
2025-04-12 15Hrs,111.0,40.0,109.0,36.0,15,32.0,286° WNW
2025-04-12 16Hrs,111.0,40.0,109.0,36.0,15,32.0,286° WNW
2025-04-12 18Hrs,111.0,40.0,109.0,36.0,15,32.0,286° WNW
2025-04-12 19Hrs,94.0,32.0,107.0,29.0,30,16.0,285° WNW
2025-04-12 20Hrs,94.0,32.0,107.0,29.0,30,16.0,285° WNW
2025-04-12 21Hrs,104.0,36.0,116.0,27.0,39,10.0,258° WSW
2025-04-12 22Hrs,100.0,35.0,101.0,26.0,45,10.0,257° WSW
2025-04-12 23Hrs,100.0,35.0,101.0,26.0,45,10.0,257° WSW
2025-04-13 00Hrs,100.0,35.0,101.0,26.0,45,10.0,257° WSW
2025-04-13 01Hrs,124.0,45.0,117.0,24.0,55,10.0,275° W
2025-04-13 02Hrs,100.0,35.0,101.0,26.0,45,10.0,257° WSW
2025-04-13 03Hrs,124.0,45.0,117.0,24.0,55,10.0,275° W
2025-04-13 04Hrs,120.0,43.0,124.0,23.0,53,9.0,270° W
2025-04-13 08Hrs,88.0,29.0,97.0,24.0,49,6.0,285° WNW
2025-04-13 10Hrs,88.0,29.0,97.0,24.0,49,6.0,285° WNW
2025-04-13 11Hrs,88.0,29.0,97.0,24.0,49,6.0,285° WNW
2025-04-13 12Hrs,100.0,35.0,94.0,32.0,23,11.0,353° N
2025-04-13 13Hrs,92.0,32.0,102.0,36.0,12,8.0,40° NE
2025-04-13 14Hrs,94.0,32.0,115.0,37.0,11,7.0,31° NNE
2025-04-13 15Hrs,94.0,32.0,115.0,37.0,11,7.0,31° NNE
2025-04-13 16Hrs,94.0,32.0,112.0,37.0,11,8.0,20° NNE
2025-04-13 18Hrs,91.0,30.0,98.0,36.0,15,23.0,323° NW
2025-04-13 19Hrs,91.0,30.0,98.0,36.0,15,23.0,323° NW
2025-04-13 20Hrs,91.0,30.0,98.0,36.0,15,23.0,323° NW
2025-04-13 21Hrs,94.0,32.0,102.0,28.0,45,13.0,290° WNW
2025-04-13 22Hrs,94.0,32.0,102.0,28.0,45,13.0,290° WNW
2025-04-13 23Hrs,94.0,32.0,102.0,28.0,45,13.0,290° WNW
2025-04-14 00Hrs,94.0,32.0,102.0,28.0,45,13.0,290° WNW
2025-04-14 01Hrs,100.0,35.0,102.0,26.0,46,9.0,289° WNW
2025-04-14 02Hrs,100.0,35.0,102.0,26.0,46,9.0,289° WNW
2025-04-14 03Hrs,100.0,35.0,102.0,26.0,46,9.0,289° WNW
2025-04-14 04Hrs,100.0,35.0,102.0,26.0,46,9.0,289° WNW
2025-04-14 07Hrs,90.0,30.0,90.0,24.0,43,12.0,290° WNW
2025-04-14 08Hrs,90.0,30.0,90.0,24.0,43,12.0,290° WNW
2025-04-14 09Hrs,101.0,35.0,97.0,33.0,18,16.0,331° NNW
2025-04-14 10Hrs,101.0,35.0,97.0,33.0,18,16.0,331° NNW
2025-04-14 12Hrs,94.0,32.0,98.0,37.0,11,12.0,346° NNW
2025-04-14 13Hrs,94.0,32.0,105.0,38.0,10,12.0,346° NNW
2025-04-14 14Hrs,94.0,32.0,103.0,38.0,10,13.0,350° N
2025-04-14 15Hrs,92,31,102,38,10,13,349° N
